| Epoch 29 | Batch 450/510 | Loss: 8.1281 | PPL: 3388.20
| Epoch 29 | Batch 500/510 | Loss: 8.1273 | PPL: 3385.75
| End of Epoch 29 | Val Loss: 8.0347 | Val PPL: 3086.17 | LR: 1.64e-04
| Epoch 30 | Batch 0/510 | Loss: 8.1277 | PPL: 3386.87
| Epoch 30 | Batch 50/510 | Loss: 8.1277 | PPL: 3387.13
| Epoch 30 | Batch 100/510 | Loss: 8.1270 | PPL: 3384.52
| Epoch 30 | Batch 150/510 | Loss: 8.1279 | PPL: 3387.69
| Epoch 30 | Batch 200/510 | Loss: 8.1267 | PPL: 3383.60
| Epoch 30 | Batch 250/510 | Loss: 8.1289 | PPL: 3390.94
| Epoch 30 | Batch 300/510 | Loss: 8.1285 | PPL: 3389.59
| Epoch 30 | Batch 350/510 | Loss: 8.1285 | PPL: 3389.65
| Epoch 30 | Batch 400/510 | Loss: 8.1285 | PPL: 3389.58
| Epoch 30 | Batch 450/510 | Loss: 8.1272 | PPL: 3385.25
| Epoch 30 | Batch 500/510 | Loss: 8.1269 | PPL: 3384.39
| End of Epoch 30 | Val Loss: 8.0340 | Val PPL: 3083.95 | LR: 1.61e-04
| Epoch 31 | Batch 0/510 | Loss: 8.1212 | PPL: 3364.99
| Epoch 31 | Batch 50/510 | Loss: 8.1233 | PPL: 3372.08
| Epoch 31 | Batch 100/510 | Loss: 8.1226 | PPL: 3369.76
| Epoch 31 | Batch 150/510 | Loss: 8.1244 | PPL: 3375.68
| Epoch 31 | Batch 200/510 | Loss: 8.1246 | PPL: 3376.56
| Epoch 31 | Batch 250/510 | Loss: 8.1252 | PPL: 3378.48
| Epoch 31 | Batch 300/510 | Loss: 8.1260 | PPL: 3381.31
| Epoch 31 | Batch 350/510 | Loss: 8.1258 | PPL: 3380.54
| Epoch 31 | Batch 400/510 | Loss: 8.1253 | PPL: 3379.05
| Epoch 31 | Batch 450/510 | Loss: 8.1262 | PPL: 3381.96
| Epoch 31 | Batch 500/510 | Loss: 8.1263 | PPL: 3382.24
| End of Epoch 31 | Val Loss: 8.0380 | Val PPL: 3096.27 | LR: 1.59e-04
| Epoch 32 | Batch 0/510 | Loss: 8.1502 | PPL: 3463.92
| Epoch 32 | Batch 50/510 | Loss: 8.1188 | PPL: 3356.82
| Epoch 32 | Batch 100/510 | Loss: 8.1255 | PPL: 3379.61
| Epoch 32 | Batch 150/510 | Loss: 8.1253 | PPL: 3378.81
| Epoch 32 | Batch 200/510 | Loss: 8.1261 | PPL: 3381.54
| Epoch 32 | Batch 250/510 | Loss: 8.1265 | PPL: 3382.91
| Epoch 32 | Batch 300/510 | Loss: 8.1255 | PPL: 3379.62
| Epoch 32 | Batch 350/510 | Loss: 8.1251 | PPL: 3378.05
| Epoch 32 | Batch 400/510 | Loss: 8.1250 | PPL: 3378.01
| Epoch 32 | Batch 450/510 | Loss: 8.1252 | PPL: 3378.61
| Epoch 32 | Batch 500/510 | Loss: 8.1263 | PPL: 3382.41
| End of Epoch 32 | Val Loss: 8.0384 | Val PPL: 3097.69 | LR: 1.56e-04
| Epoch 33 | Batch 0/510 | Loss: 8.1320 | PPL: 3401.57
| Epoch 33 | Batch 50/510 | Loss: 8.1252 | PPL: 3378.53
| Epoch 33 | Batch 100/510 | Loss: 8.1247 | PPL: 3376.84
| Epoch 33 | Batch 150/510 | Loss: 8.1235 | PPL: 3372.92
| Epoch 33 | Batch 200/510 | Loss: 8.1257 | PPL: 3380.37
| Epoch 33 | Batch 250/510 | Loss: 8.1270 | PPL: 3384.78
| Epoch 33 | Batch 300/510 | Loss: 8.1267 | PPL: 3383.49
| Epoch 33 | Batch 350/510 | Loss: 8.1261 | PPL: 3381.62
| Epoch 33 | Batch 400/510 | Loss: 8.1266 | PPL: 3383.26
| Epoch 33 | Batch 450/510 | Loss: 8.1275 | PPL: 3386.17
| Epoch 33 | Batch 500/510 | Loss: 8.1268 | PPL: 3383.90
| End of Epoch 33 | Val Loss: 8.0323 | Val PPL: 3078.82 | LR: 1.54e-04
| Epoch 34 | Batch 0/510 | Loss: 8.1582 | PPL: 3491.82
| Epoch 34 | Batch 50/510 | Loss: 8.1144 | PPL: 3342.40
| Epoch 34 | Batch 100/510 | Loss: 8.1176 | PPL: 3353.04
| Epoch 34 | Batch 150/510 | Loss: 8.1195 | PPL: 3359.18
| Epoch 34 | Batch 200/510 | Loss: 8.1216 | PPL: 3366.34
| Epoch 34 | Batch 250/510 | Loss: 8.1238 | PPL: 3373.83
| Epoch 34 | Batch 300/510 | Loss: 8.1264 | PPL: 3382.76
| Epoch 34 | Batch 350/510 | Loss: 8.1261 | PPL: 3381.44
| Epoch 34 | Batch 400/510 | Loss: 8.1262 | PPL: 3382.04
| Epoch 34 | Batch 450/510 | Loss: 8.1265 | PPL: 3383.00
| Epoch 34 | Batch 500/510 | Loss: 8.1262 | PPL: 3382.07
| End of Epoch 34 | Val Loss: 8.0409 | Val PPL: 3105.34 | LR: 1.51e-04
| Epoch 35 | Batch 0/510 | Loss: 8.1656 | PPL: 3517.88
| Epoch 35 | Batch 50/510 | Loss: 8.1199 | PPL: 3360.74
| Epoch 35 | Batch 100/510 | Loss: 8.1257 | PPL: 3380.14
| Epoch 35 | Batch 150/510 | Loss: 8.1252 | PPL: 3378.49
| Epoch 35 | Batch 200/510 | Loss: 8.1259 | PPL: 3380.99
| Epoch 35 | Batch 250/510 | Loss: 8.1263 | PPL: 3382.27
| Epoch 35 | Batch 300/510 | Loss: 8.1253 | PPL: 3378.96
| Epoch 35 | Batch 350/510 | Loss: 8.1256 | PPL: 3379.81
| Epoch 35 | Batch 400/510 | Loss: 8.1257 | PPL: 3380.16
| Epoch 35 | Batch 450/510 | Loss: 8.1268 | PPL: 3383.80
| Epoch 35 | Batch 500/510 | Loss: 8.1268 | PPL: 3384.07
| End of Epoch 35 | Val Loss: 8.0347 | Val PPL: 3086.32 | LR: 1.48e-04
| Epoch 36 | Batch 0/510 | Loss: 8.1147 | PPL: 3343.34
| Epoch 36 | Batch 50/510 | Loss: 8.1144 | PPL: 3342.17
| Epoch 36 | Batch 100/510 | Loss: 8.1230 | PPL: 3371.04
| Epoch 36 | Batch 150/510 | Loss: 8.1247 | PPL: 3376.71
| Epoch 36 | Batch 200/510 | Loss: 8.1250 | PPL: 3378.01
| Epoch 36 | Batch 250/510 | Loss: 8.1247 | PPL: 3376.98
| Epoch 36 | Batch 300/510 | Loss: 8.1249 | PPL: 3377.40
| Epoch 36 | Batch 350/510 | Loss: 8.1262 | PPL: 3381.76
| Epoch 36 | Batch 400/510 | Loss: 8.1251 | PPL: 3378.29
| Epoch 36 | Batch 450/510 | Loss: 8.1245 | PPL: 3376.11
| Epoch 36 | Batch 500/510 | Loss: 8.1252 | PPL: 3378.70
| End of Epoch 36 | Val Loss: 8.0337 | Val PPL: 3083.27 | LR: 1.46e-04
| Epoch 37 | Batch 0/510 | Loss: 8.1289 | PPL: 3390.96
| Epoch 37 | Batch 50/510 | Loss: 8.1275 | PPL: 3386.31
| Epoch 37 | Batch 100/510 | Loss: 8.1266 | PPL: 3383.41
| Epoch 37 | Batch 150/510 | Loss: 8.1235 | PPL: 3372.96
| Epoch 37 | Batch 200/510 | Loss: 8.1234 | PPL: 3372.55
| Epoch 37 | Batch 250/510 | Loss: 8.1251 | PPL: 3378.27
| Epoch 37 | Batch 300/510 | Loss: 8.1257 | PPL: 3380.28
| Epoch 37 | Batch 350/510 | Loss: 8.1260 | PPL: 3381.09
| Epoch 37 | Batch 400/510 | Loss: 8.1259 | PPL: 3381.02
| Epoch 37 | Batch 450/510 | Loss: 8.1259 | PPL: 3380.93
| Epoch 37 | Batch 500/510 | Loss: 8.1265 | PPL: 3382.86
| End of Epoch 37 | Val Loss: 8.0349 | Val PPL: 3086.95 | LR: 1.43e-04
| Epoch 38 | Batch 0/510 | Loss: 8.1242 | PPL: 3375.14
| Epoch 38 | Batch 50/510 | Loss: 8.1151 | PPL: 3344.72
| Epoch 38 | Batch 100/510 | Loss: 8.1168 | PPL: 3350.20
| Epoch 38 | Batch 150/510 | Loss: 8.1186 | PPL: 3356.30
| Epoch 38 | Batch 200/510 | Loss: 8.1206 | PPL: 3362.88
| Epoch 38 | Batch 250/510 | Loss: 8.1208 | PPL: 3363.79
| Epoch 38 | Batch 300/510 | Loss: 8.1228 | PPL: 3370.60
| Epoch 38 | Batch 350/510 | Loss: 8.1237 | PPL: 3373.56
| Epoch 38 | Batch 400/510 | Loss: 8.1236 | PPL: 3373.06
| Epoch 38 | Batch 450/510 | Loss: 8.1241 | PPL: 3374.74
| Epoch 38 | Batch 500/510 | Loss: 8.1248 | PPL: 3377.33
| End of Epoch 38 | Val Loss: 8.0353 | Val PPL: 3088.00 | LR: 1.40e-04
| Epoch 39 | Batch 0/510 | Loss: 8.1607 | PPL: 3500.78
| Epoch 39 | Batch 50/510 | Loss: 8.1179 | PPL: 3353.82
| Epoch 39 | Batch 100/510 | Loss: 8.1241 | PPL: 3374.75
| Epoch 39 | Batch 150/510 | Loss: 8.1241 | PPL: 3374.82
| Epoch 39 | Batch 200/510 | Loss: 8.1245 | PPL: 3376.17
| Epoch 39 | Batch 250/510 | Loss: 8.1242 | PPL: 3375.26
| Epoch 39 | Batch 300/510 | Loss: 8.1254 | PPL: 3379.14
